Year,Month,Day,Hour,Minute,Second,HYY_META.T336
2022,01,07,02,00,00,-11.97567
2022,01,07,02,30,00,-11.69733
2022,01,07,03,00,00,-11.51
2022,01,07,03,30,00,-11.39167
2022,01,07,04,00,00,-11.30067
2022,01,07,04,30,00,-11.27767
2022,01,07,05,00,00,-11.07167
2022,01,07,05,30,00,-10.91733
2022,01,07,06,00,00,-10.87333
2022,01,07,06,30,00,-10.908
2022,01,07,07,00,00,-10.73967
2022,01,07,07,30,00,-10.775
2022,01,07,08,00,00,-11.02233
2022,01,07,08,30,00,-11.24
2022,01,07,09,00,00,-11.359
2022,01,07,09,30,00,-11.66733
2022,01,07,10,00,00,-11.881
2022,01,07,10,30,00,-11.843
2022,01,07,11,00,00,-11.62667
2022,01,07,11,30,00,-11.268
2022,01,07,12,00,00,-10.63233
2022,01,07,12,30,00,-10.03867
2022,01,07,13,00,00,-9.683
2022,01,07,13,30,00,-9.33533
2022,01,07,14,00,00,-9.091
2022,01,07,14,30,00,-8.79467
2022,01,07,15,00,00,-8.52133
2022,01,07,15,30,00,-8.41867
2022,01,07,16,00,00,-8.21867
2022,01,07,16,30,00,-7.98367
2022,01,07,17,00,00,-7.90133
2022,01,07,17,30,00,-7.77533
2022,01,07,18,00,00,-7.72567
2022,01,07,18,30,00,-7.75467
2022,01,07,19,00,00,-7.735
2022,01,07,19,30,00,-7.741
2022,01,07,20,00,00,-7.774
2022,01,07,20,30,00,-7.73867
2022,01,07,21,00,00,-7.69033
2022,01,07,21,30,00,-7.603
2022,01,07,22,00,00,-7.62867
2022,01,07,22,30,00,-7.652
2022,01,07,23,00,00,-7.68833
2022,01,07,23,30,00,-7.771
2022,01,08,00,00,00,-7.86133
2022,01,08,00,30,00,-7.94533
2022,01,08,01,00,00,-8.03233
2022,01,08,01,30,00,-8.15367
2022,01,08,02,00,00,-8.25933
2022,01,08,02,30,00,-8.32833
2022,01,08,03,00,00,-8.44333
2022,01,08,03,30,00,-8.64333
2022,01,08,04,00,00,-8.71533
2022,01,08,04,30,00,-8.81467
2022,01,08,05,00,00,-8.867
2022,01,08,05,30,00,-8.97467
2022,01,08,06,00,00,-9.03467
2022,01,08,06,30,00,-9.15433
2022,01,08,07,00,00,-9.367
2022,01,08,07,30,00,-9.53767
2022,01,08,08,00,00,-9.66967
2022,01,08,08,30,00,-9.784
2022,01,08,09,00,00,-9.93733
2022,01,08,09,30,00,-10.24067
2022,01,08,10,00,00,-10.28067
2022,01,08,10,30,00,-10.84267
2022,01,08,11,00,00,-10.51033
2022,01,08,11,30,00,-10.283
2022,01,08,12,00,00,-10.35367
2022,01,08,12,30,00,-10.36833
2022,01,08,13,00,00,-10.51667
2022,01,08,13,30,00,-10.60367
2022,01,08,14,00,00,-10.55333
2022,01,08,14,30,00,-10.40033
2022,01,08,15,00,00,-10.348
2022,01,08,15,30,00,-10.30433
2022,01,08,16,00,00,-10.31467
2022,01,08,16,30,00,-10.42233
2022,01,08,17,00,00,-10.56433
2022,01,08,17,30,00,-10.772
2022,01,08,18,00,00,-10.85067
2022,01,08,18,30,00,-10.763
2022,01,08,19,00,00,-10.63533
2022,01,08,19,30,00,-10.49333
2022,01,08,20,00,00,-10.288
2022,01,08,20,30,00,-10.046
2022,01,08,21,00,00,-9.92533
2022,01,08,21,30,00,-9.86
2022,01,08,22,00,00,-9.90067
2022,01,08,22,30,00,-9.936
2022,01,08,23,00,00,-9.89533
2022,01,08,23,30,00,-9.84433
2022,01,09,00,00,00,-9.86267
2022,01,09,00,30,00,-9.979
2022,01,09,01,00,00,-10.07733
2022,01,09,01,30,00,-10.21467
2022,01,09,02,00,00,-10.35433
2022,01,09,02,30,00,-10.47467
2022,01,09,03,00,00,-10.59967
2022,01,09,03,30,00,-10.69033
2022,01,09,04,00,00,-10.78667
2022,01,09,04,30,00,-10.85633
2022,01,09,05,00,00,-10.952
2022,01,09,05,30,00,-11.05867
2022,01,09,06,00,00,-11.15333
2022,01,09,06,30,00,-11.28633
2022,01,09,07,00,00,-11.43867
2022,01,09,07,30,00,-11.60367
2022,01,09,08,00,00,-11.86233
2022,01,09,08,30,00,-12.205
2022,01,09,09,00,00,-12.56967
2022,01,09,09,30,00,-12.93167
2022,01,09,10,00,00,-13.22967
2022,01,09,10,30,00,-13.30867
2022,01,09,11,00,00,-13.11767
2022,01,09,11,30,00,-12.815
2022,01,09,12,00,00,-12.39267
2022,01,09,12,30,00,-12.08633
2022,01,09,13,00,00,-11.89367
2022,01,09,13,30,00,-11.71367
