Year,Month,Day,Hour,Minute,Second,HYY_META.Glob
2022,01,11,13,00,00,38.91676
2022,01,11,13,30,00,30.00267
2022,01,11,14,00,00,24.79467
2022,01,11,14,30,00,17.34749
2022,01,11,15,00,00,9.38698
2022,01,11,15,30,00,5.90639
2022,01,11,16,00,00,5.07817
2022,01,11,16,30,00,4.40436
2022,01,11,17,00,00,4.83275
2022,01,11,17,30,00,4.57342
2022,01,11,18,00,00,4.46881
2022,01,11,18,30,00,4.47893
2022,01,11,19,00,00,4.61721
2022,01,11,19,30,00,4.55505
2022,01,11,20,00,00,4.77291
2022,01,11,20,30,00,4.45554
2022,01,11,21,00,00,4.63879
2022,01,11,21,30,00,4.48454
2022,01,11,22,00,00,4.34302
2022,01,11,22,30,00,4.51459
2022,01,11,23,00,00,4.31535
2022,01,11,23,30,00,4.39442
2022,01,12,00,00,00,3.43693
2022,01,12,00,30,00,3.39658
2022,01,12,01,00,00,3.62712
2022,01,12,01,30,00,3.46046
2022,01,12,02,00,00,3.42385
2022,01,12,02,30,00,3.53959
2022,01,12,03,00,00,3.44418
2022,01,12,03,30,00,3.53788
2022,01,12,04,00,00,3.06061
2022,01,12,04,30,00,2.85083
2022,01,12,05,00,00,2.19581
2022,01,12,05,30,00,1.43919
2022,01,12,06,00,00,2.5348
2022,01,12,06,30,00,1.2409
2022,01,12,07,00,00,0.80437
2022,01,12,07,30,00,0.7373
2022,01,12,08,00,00,1.04219
2022,01,12,08,30,00,1.75779
2022,01,12,09,00,00,2.24557
2022,01,12,09,30,00,3.07278
2022,01,12,10,00,00,6.46952
2022,01,12,10,30,00,9.54796
2022,01,12,11,00,00,13.20248
2022,01,12,11,30,00,26.31895
2022,01,12,12,00,00,24.29124
2022,01,12,12,30,00,19.20262
2022,01,12,13,00,00,40.54128
2022,01,12,13,30,00,27.24096
2022,01,12,14,00,00,17.66595
2022,01,12,14,30,00,11.59576
2022,01,12,15,00,00,3.62071
2022,01,12,15,30,00,2.42991
2022,01,12,16,00,00,1.17228
2022,01,12,16,30,00,0.29791
2022,01,12,17,00,00,-0.83393
2022,01,12,17,30,00,0.61438
2022,01,12,18,00,00,-0.10565
2022,01,12,18,30,00,0.70412
2022,01,12,19,00,00,1.15784
2022,01,12,19,30,00,0.90946
2022,01,12,20,00,00,1.69215
2022,01,12,20,30,00,1.87119
2022,01,12,21,00,00,0.91003
2022,01,12,21,30,00,0.31653
2022,01,12,22,00,00,1.68493
2022,01,12,22,30,00,-0.17862
2022,01,12,23,00,00,-0.2185
2022,01,12,23,30,00,-0.2675
2022,01,13,00,00,00,0.89626
2022,01,13,00,30,00,0.46837
2022,01,13,01,00,00,-0.20203
2022,01,13,01,30,00,0.00226
2022,01,13,02,00,00,-0.9453
2022,01,13,02,30,00,-1.58328
2022,01,13,03,00,00,-3.20974
2022,01,13,03,30,00,-2.86762
2022,01,13,04,00,00,-0.93034
2022,01,13,04,30,00,-1.80346
2022,01,13,05,00,00,-3.19088
2022,01,13,05,30,00,-2.03827
2022,01,13,06,00,00,-3.0604
2022,01,13,06,30,00,-2.80786
2022,01,13,07,00,00,-3.6077
2022,01,13,07,30,00,-1.70965
2022,01,13,08,00,00,-1.94627
2022,01,13,08,30,00,-1.91074
2022,01,13,09,00,00,-1.09508
2022,01,13,09,30,00,11.17098
2022,01,13,10,00,00,35.15619
2022,01,13,10,30,00,47.86693
2022,01,13,11,00,00,53.50439
2022,01,13,11,30,00,70.19785
2022,01,13,12,00,00,31.80289
2022,01,13,12,30,00,29.75372
2022,01,13,13,00,00,27.63508
2022,01,13,13,30,00,22.09279
2022,01,13,14,00,00,16.23966
2022,01,13,14,30,00,8.83102
2022,01,13,15,00,00,2.66486
2022,01,13,15,30,00,-2.17586
2022,01,13,16,00,00,-2.41547
2022,01,13,16,30,00,-2.341
2022,01,13,17,00,00,-4.83906
2022,01,13,17,30,00,-2.86519
2022,01,13,18,00,00,-4.75092
2022,01,13,18,30,00,-3.2401
2022,01,13,19,00,00,-1.0431
2022,01,13,19,30,00,-1.80645
2022,01,13,20,00,00,-2.33299
2022,01,13,20,30,00,-1.12504
2022,01,13,21,00,00,-0.05338
2022,01,13,21,30,00,-2.63086
2022,01,13,22,00,00,-3.26973
2022,01,13,22,30,00,-0.22144
2022,01,13,23,00,00,-1.54251
2022,01,13,23,30,00,-0.65917
2022,01,14,00,00,00,2.63377
2022,01,14,00,30,00,1.43413
2022,01,14,01,00,00,1.60745
2022,01,14,01,30,00,1.38531
