Year,Month,Day,Hour,Minute,Second,HYY_META.Glob
2011,01,09,17,30,00,-0.036
2011,01,09,18,00,00,0.07633
2011,01,09,18,30,00,-0.16433
2011,01,09,19,00,00,-0.34033
2011,01,09,19,30,00,-0.164
2011,01,09,20,00,00,-0.1
2011,01,09,20,30,00,-0.00367
2011,01,09,21,00,00,-0.03533
2011,01,09,21,30,00,-0.261
2011,01,09,22,00,00,0.20567
2011,01,09,22,30,00,0.55767
2011,01,09,23,00,00,0.57333
2011,01,09,23,30,00,0.44533
2011,01,10,00,00,00,0.64967
2011,01,10,00,30,00,0.698
2011,01,10,01,00,00,0.714
2011,01,10,01,30,00,0.89
2011,01,10,02,00,00,0.874
2011,01,10,02,30,00,0.777
2011,01,10,03,00,00,1.11533
2011,01,10,03,30,00,0.81
2011,01,10,04,00,00,0.43933
2011,01,10,04,30,00,0.037
2011,01,10,05,00,00,-0.173
2011,01,10,05,30,00,-0.157
2011,01,10,06,00,00,-0.01133
2011,01,10,06,30,00,-0.38267
2011,01,10,07,00,00,-0.72033
2011,01,10,07,30,00,-0.25467
2011,01,10,08,00,00,-0.15733
2011,01,10,08,30,00,-0.029
2011,01,10,09,00,00,0.14967
2011,01,10,09,30,00,1.322
2011,01,10,10,00,00,2.626
2011,01,10,10,30,00,6.1
2011,01,10,11,00,00,17.356
2011,01,10,11,30,00,28.131
2011,01,10,12,00,00,19.27
2011,01,10,12,30,00,15.99033
2011,01,10,13,00,00,15.98867
2011,01,10,13,30,00,15.619
2011,01,10,14,00,00,11.262
2011,01,10,14,30,00,5.32767
2011,01,10,15,00,00,2.81867
2011,01,10,15,30,00,1.291
2011,01,10,16,00,00,0.55233
2011,01,10,16,30,00,0.31133
2011,01,10,17,00,00,0.03567
2011,01,10,17,30,00,0.31067
2011,01,10,18,00,00,0.40733
2011,01,10,18,30,00,0.43933
2011,01,10,19,00,00,0.40667
2011,01,10,19,30,00,0.166
2011,01,10,20,00,00,-0.18967
2011,01,10,20,30,00,0.118
2011,01,10,21,00,00,0.14933
2011,01,10,21,30,00,0.27833
2011,01,10,22,00,00,0.16467
2011,01,10,22,30,00,0.27733
2011,01,10,23,00,00,0.53567
2011,01,10,23,30,00,0.32733
2011,01,11,00,00,00,-1.33
2011,01,11,00,30,00,-1.378
