Year,Month,Day,Hour,Minute,Second,HYY_META.WSU336
2011,01,06,14,30,00,5.28233
2011,01,06,15,00,00,5.86033
2011,01,06,15,30,00,6.76167
2011,01,06,16,00,00,6.34767
2011,01,06,16,30,00,6.446
2011,01,06,17,00,00,5.93667
2011,01,06,17,30,00,6.57867
2011,01,06,18,00,00,6.58333
2011,01,06,18,30,00,6.851
2011,01,06,19,00,00,6.67483
2011,01,06,19,30,00,7.05966
2011,01,06,20,00,00,6.76357
2011,01,06,20,30,00,5.75967
2011,01,06,21,00,00,6.50586
2011,01,06,21,30,00,5.65179
2011,01,06,22,00,00,4.9672
2011,01,06,22,30,00,5.58708
2011,01,06,23,00,00,5.1864
2011,01,06,23,30,00,5.32393
2011,01,07,00,00,00,6.01214
2011,01,07,00,30,00,5.35286
2011,01,07,01,00,00,5.18037
2011,01,07,01,30,00,4.47385
2011,01,07,02,00,00,4.28
2011,01,07,02,30,00,5.1825
2011,01,07,03,00,00,4.50478
2011,01,07,03,30,00,4.48333
2011,01,07,04,00,00,3.3355
2011,01,07,04,30,00,3.51538
2011,01,07,05,00,00,3.72864
2011,01,07,05,30,00,3.90286
2011,01,07,06,00,00,3.93828
2011,01,07,06,30,00,4.02593
2011,01,07,07,00,00,4.17857
2011,01,07,07,30,00,3.87571
2011,01,07,08,00,00,4.50633
2011,01,07,08,30,00,4.65033
2011,01,07,09,00,00,4.1196
2011,01,07,09,30,00,4.14692
2011,01,07,10,00,00,5.04759
2011,01,07,10,30,00,4.82481
2011,01,07,11,00,00,4.35828
2011,01,07,11,30,00,5.27464
2011,01,07,12,00,00,4.17889
2011,01,07,12,30,00,4.88074
2011,01,07,13,00,00,4.60357
2011,01,07,13,30,00,4.59567
2011,01,07,14,00,00,4.43483
2011,01,07,14,30,00,3.63577
2011,01,07,15,00,00,4.03862
2011,01,07,15,30,00,3.95577
2011,01,07,16,00,00,4.752
2011,01,07,16,30,00,4.776
2011,01,07,17,00,00,4.12571
2011,01,07,17,30,00,3.92679
2011,01,07,18,00,00,3.64192
2011,01,07,18,30,00,3.26933
2011,01,07,19,00,00,3.08962
2011,01,07,19,30,00,2.97483
2011,01,07,20,00,00,2.505
2011,01,07,20,30,00,1.60875
2011,01,07,21,00,00,1.42545
2011,01,07,21,30,00,2.9263
2011,01,07,22,00,00,5.77267
2011,01,07,22,30,00,7.33433
2011,01,07,23,00,00,7.04767
2011,01,07,23,30,00,7.366
2011,01,08,00,00,00,7.032
2011,01,08,00,30,00,6.54167
2011,01,08,01,00,00,6.14633
2011,01,08,01,30,00,6.312
2011,01,08,02,00,00,5.482
2011,01,08,02,30,00,6.319
2011,01,08,03,00,00,6.04867
2011,01,08,03,30,00,6.51467
2011,01,08,04,00,00,5.81333
2011,01,08,04,30,00,5.48
2011,01,08,05,00,00,5.271
2011,01,08,05,30,00,5.73733
2011,01,08,06,00,00,5.16033
2011,01,08,06,30,00,4.82967
2011,01,08,07,00,00,4.93867
2011,01,08,07,30,00,5.04103
