Year,Month,Day,Hour,Minute,Second,HYY_META.O3336
2018,01,06,20,30,00,35.832
2018,01,06,21,00,00,36.196
2018,01,06,21,30,00,36.478
2018,01,06,22,00,00,37.404
2018,01,06,22,30,00,38.204
2018,01,06,23,00,00,39.184
2018,01,06,23,30,00,39.958
2018,01,07,00,00,00,39.534
2018,01,07,00,30,00,39.136
2018,01,07,01,00,00,38.944
2018,01,07,01,30,00,38.53
2018,01,07,02,00,00,38.45
2018,01,07,02,30,00,38.174
2018,01,07,03,00,00,38.102
2018,01,07,03,30,00,38.102
2018,01,07,04,00,00,38.108
2018,01,07,04,30,00,37.856
2018,01,07,05,00,00,37.892
2018,01,07,05,30,00,37.724
2018,01,07,06,00,00,37.37
2018,01,07,06,30,00,37.264
2018,01,07,07,00,00,36.988
2018,01,07,07,30,00,36.812
2018,01,07,08,00,00,37.014
2018,01,07,08,30,00,37.116
2018,01,07,09,00,00,36.844
2018,01,07,09,30,00,37.076
2018,01,07,10,00,00,37.072
2018,01,07,10,30,00,36.97
2018,01,07,11,00,00,36.98
2018,01,07,11,30,00,36.724
2018,01,07,12,00,00,36.824
2018,01,07,12,30,00,37.068
2018,01,07,13,00,00,37.232
2018,01,07,13,30,00,36.61
2018,01,07,14,00,00,37.234
2018,01,07,14,30,00,37.34
2018,01,07,15,00,00,37.042
2018,01,07,15,30,00,36.828
2018,01,07,16,00,00,37.138
2018,01,07,16,30,00,37.164
2018,01,07,17,00,00,37.126
2018,01,07,17,30,00,36.882
2018,01,07,18,00,00,36.93
2018,01,07,18,30,00,37.248
2018,01,07,19,00,00,37.728
2018,01,07,19,30,00,37.666
2018,01,07,20,00,00,37.63
2018,01,07,20,30,00,37.766
2018,01,07,21,00,00,38.072
2018,01,07,21,30,00,38.424
2018,01,07,22,00,00,38.918
2018,01,07,22,30,00,39.284
2018,01,07,23,00,00,39.492
2018,01,07,23,30,00,39.998
2018,01,08,00,00,00,39.852
2018,01,08,00,30,00,40.088
2018,01,08,01,00,00,40.144
2018,01,08,01,30,00,39.456
2018,01,08,02,00,00,38.512
2018,01,08,02,30,00,37.878
2018,01,08,03,00,00,37.796
2018,01,08,03,30,00,37.478
2018,01,08,04,00,00,37.54
2018,01,08,04,30,00,37.566
2018,01,08,05,00,00,37.648
2018,01,08,05,30,00,38.03
2018,01,08,06,00,00,37.95
2018,01,08,06,30,00,38.086
2018,01,08,07,00,00,37.852
2018,01,08,07,30,00,37.818
2018,01,08,08,00,00,37.98
2018,01,08,08,30,00,38.342
2018,01,08,09,00,00,38.886
2018,01,08,09,30,00,38.816
2018,01,08,10,00,00,38.934
2018,01,08,10,30,00,39.208
2018,01,08,11,00,00,39.202
2018,01,08,11,30,00,39.232
2018,01,08,12,00,00,39.1
2018,01,08,12,30,00,39.248
2018,01,08,13,00,00,39.476
2018,01,08,13,30,00,39.532
2018,01,08,14,00,00,39.542
2018,01,08,14,30,00,39.45
2018,01,08,15,00,00,39.034
2018,01,08,15,30,00,38.446
2018,01,08,16,00,00,38.15
2018,01,08,16,30,00,38.102
2018,01,08,17,00,00,37.7
2018,01,08,17,30,00,37.88
2018,01,08,18,00,00,37.62
2018,01,08,18,30,00,37.554
2018,01,08,19,00,00,37.658
2018,01,08,19,30,00,37.442
2018,01,08,20,00,00,36.876
2018,01,08,20,30,00,36.526
2018,01,08,21,00,00,36.386
2018,01,08,21,30,00,36.824
2018,01,08,22,00,00,37.256
2018,01,08,22,30,00,38.414
2018,01,08,23,00,00,38.238
2018,01,08,23,30,00,37.288
2018,01,09,00,00,00,36.686
2018,01,09,00,30,00,36.27
2018,01,09,01,00,00,36.198
2018,01,09,01,30,00,35.606
2018,01,09,02,00,00,35.376
2018,01,09,02,30,00,34.704
2018,01,09,03,00,00,34.304
2018,01,09,03,30,00,33.346
2018,01,09,04,00,00,32.83
2018,01,09,04,30,00,32.272
2018,01,09,05,00,00,31.89
2018,01,09,05,30,00,31.69
2018,01,09,06,00,00,30.918
2018,01,09,06,30,00,31.914
2018,01,09,07,00,00,32.882
2018,01,09,07,30,00,32.24
2018,01,09,08,00,00,32.772
2018,01,09,08,30,00,32.376
2018,01,09,09,00,00,31.878
2018,01,09,09,30,00,32.036
2018,01,09,10,00,00,31.836
2018,01,09,10,30,00,31.506
2018,01,09,11,00,00,31.406
2018,01,09,11,30,00,32.014
2018,01,09,12,00,00,32.19
2018,01,09,12,30,00,31.738
2018,01,09,13,00,00,31.868
2018,01,09,13,30,00,32.172
2018,01,09,14,00,00,32.18
2018,01,09,14,30,00,32.65
2018,01,09,15,00,00,32.316
2018,01,09,15,30,00,32.098
2018,01,09,16,00,00,31.95
2018,01,09,16,30,00,32.054
2018,01,09,17,00,00,31.92
2018,01,09,17,30,00,31.444
2018,01,09,18,00,00,31.29
2018,01,09,18,30,00,31.742
2018,01,09,19,00,00,31.192
2018,01,09,19,30,00,30.308
2018,01,09,20,00,00,30.258
2018,01,09,20,30,00,30.046
2018,01,09,21,00,00,29.954
2018,01,09,21,30,00,29.338
2018,01,09,22,00,00,29.66
2018,01,09,22,30,00,30.244
2018,01,09,23,00,00,29.73
2018,01,09,23,30,00,29.214
2018,01,10,00,00,00,28.76
2018,01,10,00,30,00,27.974
2018,01,10,01,00,00,28.112
2018,01,10,01,30,00,28.53
2018,01,10,02,00,00,28.53
2018,01,10,02,30,00,28.894
2018,01,10,03,00,00,28.724
2018,01,10,03,30,00,28.214
2018,01,10,04,00,00,28.2
2018,01,10,04,30,00,28.31
2018,01,10,05,00,00,27.75
2018,01,10,05,30,00,27.426
2018,01,10,06,00,00,27.34
2018,01,10,06,30,00,26.876
2018,01,10,07,00,00,26.52
2018,01,10,07,30,00,26.176
2018,01,10,08,00,00,26.358
2018,01,10,08,30,00,27.634
2018,01,10,09,00,00,27.012
2018,01,10,09,30,00,27.2
2018,01,10,10,00,00,27.334
2018,01,10,10,30,00,27.028
2018,01,10,11,00,00,26.014
2018,01,10,11,30,00,25.382
2018,01,10,12,00,00,25.4
2018,01,10,12,30,00,25.022
2018,01,10,13,00,00,25.028
2018,01,10,13,30,00,25.316
2018,01,10,14,00,00,25.732
2018,01,10,14,30,00,25.594
2018,01,10,15,00,00,25.858
2018,01,10,15,30,00,25.836
2018,01,10,16,00,00,25.05
2018,01,10,16,30,00,26.092
2018,01,10,17,00,00,24.616
2018,01,10,17,30,00,24.796
2018,01,10,18,00,00,24.074
2018,01,10,18,30,00,25.076
