Year,Month,Day,Hour,Minute,Second,HYY_META.Pamb0
2022,06,04,03,30,00,992.58033
2022,06,04,04,00,00,992.544
2022,06,04,04,30,00,992.47933
2022,06,04,05,00,00,992.49333
2022,06,04,05,30,00,992.48567
2022,06,04,06,00,00,992.51767
2022,06,04,06,30,00,992.608
2022,06,04,07,00,00,992.698
2022,06,04,07,30,00,992.70267
2022,06,04,08,00,00,992.786
2022,06,04,08,30,00,992.92533
2022,06,04,09,00,00,992.90833
2022,06,04,09,30,00,993.10367
2022,06,04,10,00,00,993.29633
2022,06,04,10,30,00,993.49067
2022,06,04,11,00,00,993.602
2022,06,04,11,30,00,993.57733
2022,06,04,12,00,00,993.57767
2022,06,04,12,30,00,993.641
2022,06,04,13,00,00,993.531
2022,06,04,13,30,00,993.408
2022,06,04,14,00,00,993.42767
2022,06,04,14,30,00,993.39967
2022,06,04,15,00,00,993.50333
2022,06,04,15,30,00,993.69333
2022,06,04,16,00,00,993.72267
2022,06,04,16,30,00,993.94167
2022,06,04,17,00,00,994.05767
2022,06,04,17,30,00,994.05367
2022,06,04,18,00,00,994.143
2022,06,04,18,30,00,994.28933
2022,06,04,19,00,00,994.30567
2022,06,04,19,30,00,994.44533
2022,06,04,20,00,00,994.74967
2022,06,04,20,30,00,995.02833
2022,06,04,21,00,00,995.34867
2022,06,04,21,30,00,995.57567
2022,06,04,22,00,00,995.78033
2022,06,04,22,30,00,996.01
2022,06,04,23,00,00,996.22267
2022,06,04,23,30,00,996.45133
2022,06,05,00,00,00,996.597
2022,06,05,00,30,00,996.844
2022,06,05,01,00,00,996.807
2022,06,05,01,30,00,996.71067
2022,06,05,02,00,00,996.964
2022,06,05,02,30,00,996.977
2022,06,05,03,00,00,997.08133
2022,06,05,03,30,00,997.042
2022,06,05,04,00,00,997.07233
2022,06,05,04,30,00,997.231
2022,06,05,05,00,00,997.34
2022,06,05,05,30,00,997.38567
2022,06,05,06,00,00,997.51167
2022,06,05,06,30,00,997.37167
2022,06,05,07,00,00,997.40333
2022,06,05,07,30,00,997.64633
2022,06,05,08,00,00,997.783
2022,06,05,08,30,00,997.778
2022,06,05,09,00,00,997.872
2022,06,05,09,30,00,997.91833
2022,06,05,10,00,00,997.894
2022,06,05,10,30,00,997.79333
2022,06,05,11,00,00,997.77667
2022,06,05,11,30,00,997.83433
2022,06,05,12,00,00,998.02567
2022,06,05,12,30,00,998.198
2022,06,05,13,00,00,998.12067
2022,06,05,13,30,00,997.77667
2022,06,05,14,00,00,997.67367
2022,06,05,14,30,00,997.587
2022,06,05,15,00,00,997.57767
2022,06,05,15,30,00,997.53333
2022,06,05,16,00,00,997.53433
2022,06,05,16,30,00,997.37933
2022,06,05,17,00,00,997.24933
2022,06,05,17,30,00,997.189
2022,06,05,18,00,00,997.15767
2022,06,05,18,30,00,997.14433
2022,06,05,19,00,00,997.369
2022,06,05,19,30,00,997.663
2022,06,05,20,00,00,997.86267
2022,06,05,20,30,00,998.202
2022,06,05,21,00,00,998.45
2022,06,05,21,30,00,998.77267
2022,06,05,22,00,00,999.03267
2022,06,05,22,30,00,999.27
2022,06,05,23,00,00,999.565
2022,06,05,23,30,00,999.76167
2022,06,06,00,00,00,999.95367
2022,06,06,00,30,00,1000.15467
2022,06,06,01,00,00,1000.46133
