Year,Month,Day,Hour,Minute,Second,HYY_META.UV_B
2018,01,06,13,30,00,0.00928
2018,01,06,14,00,00,0.00834
2018,01,06,14,30,00,0.00458
2018,01,06,15,00,00,0.00139
2018,01,06,15,30,00,-0.00032
2018,01,06,16,00,00,-0.00064
2018,01,06,16,30,00,-0.00063
2018,01,06,17,00,00,-0.00075
2018,01,06,17,30,00,-0.0007
2018,01,06,18,00,00,-0.00071
2018,01,06,18,30,00,-0.00076
2018,01,06,19,00,00,-0.00084
2018,01,06,19,30,00,-0.00084
2018,01,06,20,00,00,-0.00082
2018,01,06,20,30,00,-0.00086
2018,01,06,21,00,00,-0.00085
2018,01,06,21,30,00,-0.00087
2018,01,06,22,00,00,-0.00088
2018,01,06,22,30,00,-0.00095
2018,01,06,23,00,00,-0.00095
2018,01,06,23,30,00,-0.00106
2018,01,07,00,00,00,-0.00087
2018,01,07,00,30,00,-0.00096
2018,01,07,01,00,00,-0.00111
2018,01,07,01,30,00,-0.0012
2018,01,07,02,00,00,-0.00126
2018,01,07,02,30,00,-0.00136
2018,01,07,03,00,00,-0.00148
2018,01,07,03,30,00,-0.0015
2018,01,07,04,00,00,-0.00146
2018,01,07,04,30,00,-0.0015
2018,01,07,05,00,00,-0.00148
2018,01,07,05,30,00,-0.00146
2018,01,07,06,00,00,-0.00147
2018,01,07,06,30,00,-0.00146
2018,01,07,07,00,00,-0.00137
2018,01,07,07,30,00,-0.00137
2018,01,07,08,00,00,-0.00134
2018,01,07,08,30,00,-0.00115
2018,01,07,09,00,00,-0.00017
2018,01,07,09,30,00,0.00347
2018,01,07,10,00,00,0.00948
2018,01,07,10,30,00,0.01635
2018,01,07,11,00,00,0.0225
2018,01,07,11,30,00,0.02714
2018,01,07,12,00,00,0.02955
2018,01,07,12,30,00,0.02933
2018,01,07,13,00,00,0.02623
2018,01,07,13,30,00,0.02155
2018,01,07,14,00,00,0.01403
2018,01,07,14,30,00,0.00774
2018,01,07,15,00,00,0.0021
2018,01,07,15,30,00,-0.00023
2018,01,07,16,00,00,-0.00065
2018,01,07,16,30,00,-0.00067
2018,01,07,17,00,00,-0.00066
2018,01,07,17,30,00,-0.00067
2018,01,07,18,00,00,-0.00065
2018,01,07,18,30,00,-0.00065
2018,01,07,19,00,00,-0.00065
2018,01,07,19,30,00,-0.00071
2018,01,07,20,00,00,-0.00065
2018,01,07,20,30,00,-0.00062
2018,01,07,21,00,00,-0.0006
2018,01,07,21,30,00,-0.00056
2018,01,07,22,00,00,-0.00055
2018,01,07,22,30,00,-0.00055
2018,01,07,23,00,00,-0.00051
2018,01,07,23,30,00,-0.00053
2018,01,08,00,00,00,-0.00055
2018,01,08,00,30,00,-0.00052
2018,01,08,01,00,00,-0.00056
2018,01,08,01,30,00,-0.00057
2018,01,08,02,00,00,-0.00059
2018,01,08,02,30,00,-0.00057
2018,01,08,03,00,00,-0.00066
2018,01,08,03,30,00,-0.00074
2018,01,08,04,00,00,-0.00075
2018,01,08,04,30,00,-0.00077
2018,01,08,05,00,00,-0.00076
2018,01,08,05,30,00,-0.00078
2018,01,08,06,00,00,-0.0008
2018,01,08,06,30,00,-0.00079
2018,01,08,07,00,00,-0.00079
2018,01,08,07,30,00,-0.0008
2018,01,08,08,00,00,-0.0009
2018,01,08,08,30,00,-0.00093
2018,01,08,09,00,00,0.00014
2018,01,08,09,30,00,0.00403
2018,01,08,10,00,00,0.0105
2018,01,08,10,30,00,0.01789
2018,01,08,11,00,00,0.02472
2018,01,08,11,30,00,0.02986
2018,01,08,12,00,00,0.03264
2018,01,08,12,30,00,0.03239
2018,01,08,13,00,00,0.02938
2018,01,08,13,30,00,0.02408
2018,01,08,14,00,00,0.0172
2018,01,08,14,30,00,0.00998
2018,01,08,15,00,00,0.00373
2018,01,08,15,30,00,0.00004
2018,01,08,16,00,00,-0.00097
2018,01,08,16,30,00,-0.00109
2018,01,08,17,00,00,-0.00116
2018,01,08,17,30,00,-0.00108
2018,01,08,18,00,00,-0.00107
2018,01,08,18,30,00,-0.00103
2018,01,08,19,00,00,-0.00105
