Year,Month,Day,Hour,Minute,Second,HYY_META.WSU336
2022,01,08,13,30,00,2.68189
2022,01,08,14,00,00,2.74872
2022,01,08,14,30,00,3.01983
2022,01,08,15,00,00,3.08833
2022,01,08,15,30,00,3.22406
2022,01,08,16,00,00,3.63533
2022,01,08,16,30,00,3.48533
2022,01,08,17,00,00,3.62456
2022,01,08,17,30,00,3.49311
2022,01,08,18,00,00,3.78578
2022,01,08,18,30,00,4.12011
2022,01,08,19,00,00,4.06739
2022,01,08,19,30,00,4.15511
2022,01,08,20,00,00,3.89344
2022,01,08,20,30,00,4.07506
2022,01,08,21,00,00,4.14617
2022,01,08,21,30,00,4.12089
2022,01,08,22,00,00,3.87567
2022,01,08,22,30,00,3.73672
2022,01,08,23,00,00,3.922
2022,01,08,23,30,00,4.40261
2022,01,09,00,00,00,4.16706
2022,01,09,00,30,00,3.98928
2022,01,09,01,00,00,3.54917
2022,01,09,01,30,00,3.53833
2022,01,09,02,00,00,3.20667
2022,01,09,02,30,00,3.01033
2022,01,09,03,00,00,2.77033
2022,01,09,03,30,00,2.92517
2022,01,09,04,00,00,2.59561
2022,01,09,04,30,00,2.57217
2022,01,09,05,00,00,2.84939
2022,01,09,05,30,00,2.549
2022,01,09,06,00,00,2.73294
2022,01,09,06,30,00,2.78028
2022,01,09,07,00,00,2.89317
2022,01,09,07,30,00,2.78478
2022,01,09,08,00,00,2.97344
2022,01,09,08,30,00,2.80583
2022,01,09,09,00,00,3.02906
2022,01,09,09,30,00,2.78794
2022,01,09,10,00,00,2.1865
2022,01,09,10,30,00,1.82844
2022,01,09,11,00,00,2.27433
2022,01,09,11,30,00,1.93
2022,01,09,12,00,00,1.84076
2022,01,09,12,30,00,1.81139
2022,01,09,13,00,00,1.79733
2022,01,09,13,30,00,1.38696
2022,01,09,14,00,00,1.5915
2022,01,09,14,30,00,1.57639
2022,01,09,15,00,00,1.62922
2022,01,09,15,30,00,1.61839
2022,01,09,16,00,00,2.06256
2022,01,09,16,30,00,1.9445
2022,01,09,17,00,00,1.54678
