Year,Month,Day,Hour,Minute,Second,HYY_META.T336
2018,01,11,01,00,00,-8.29633
2018,01,11,01,30,00,-8.576
2018,01,11,02,00,00,-8.69933
2018,01,11,02,30,00,-8.80067
2018,01,11,03,00,00,-8.90667
2018,01,11,03,30,00,-9.033
2018,01,11,04,00,00,-9.14733
2018,01,11,04,30,00,-9.17
2018,01,11,05,00,00,-9.272
2018,01,11,05,30,00,-9.36633
2018,01,11,06,00,00,-9.47933
2018,01,11,06,30,00,-9.804
2018,01,11,07,00,00,-10.02433
2018,01,11,07,30,00,-10.307
2018,01,11,08,00,00,-10.578
2018,01,11,08,30,00,-10.84233
2018,01,11,09,00,00,-10.792
2018,01,11,09,30,00,-10.422
2018,01,11,10,00,00,-10.032
2018,01,11,10,30,00,-9.61533
2018,01,11,11,00,00,-9.126
2018,01,11,11,30,00,-8.71367
2018,01,11,12,00,00,-8.32867
2018,01,11,12,30,00,-8.098
2018,01,11,13,00,00,-7.78067
2018,01,11,13,30,00,-7.45733
2018,01,11,14,00,00,-7.052
2018,01,11,14,30,00,-6.706
2018,01,11,15,00,00,-6.50333
2018,01,11,15,30,00,-6.365
2018,01,11,16,00,00,-6.28367
2018,01,11,16,30,00,-6.23
2018,01,11,17,00,00,-6.135
2018,01,11,17,30,00,-6.131
2018,01,11,18,00,00,-6.20033
2018,01,11,18,30,00,-6.21167
2018,01,11,19,00,00,-6.191
2018,01,11,19,30,00,-6.168
2018,01,11,20,00,00,-6.10867
2018,01,11,20,30,00,-6.04533
2018,01,11,21,00,00,-6.00867
2018,01,11,21,30,00,-6.06
2018,01,11,22,00,00,-6.151
2018,01,11,22,30,00,-6.209
2018,01,11,23,00,00,-6.252
2018,01,11,23,30,00,-6.203
2018,01,12,00,00,00,-6.10533
2018,01,12,00,30,00,-6.138
2018,01,12,01,00,00,-6.23833
2018,01,12,01,30,00,-6.23767
2018,01,12,02,00,00,-6.27867
2018,01,12,02,30,00,-6.24667
2018,01,12,03,00,00,-6.11767
2018,01,12,03,30,00,-5.98067
2018,01,12,04,00,00,-5.97633
2018,01,12,04,30,00,-6.05333
2018,01,12,05,00,00,-6.132
2018,01,12,05,30,00,-6.218
2018,01,12,06,00,00,-6.19467
2018,01,12,06,30,00,-6.19
2018,01,12,07,00,00,-6.14767
2018,01,12,07,30,00,-6.12933
2018,01,12,08,00,00,-6.139
2018,01,12,08,30,00,-6.082
2018,01,12,09,00,00,-5.992
2018,01,12,09,30,00,-5.88
2018,01,12,10,00,00,-5.757
2018,01,12,10,30,00,-5.63533
2018,01,12,11,00,00,-5.49667
2018,01,12,11,30,00,-5.36633
2018,01,12,12,00,00,-5.23433
2018,01,12,12,30,00,-5.11067
2018,01,12,13,00,00,-5.01067
2018,01,12,13,30,00,-4.88567
2018,01,12,14,00,00,-4.738
2018,01,12,14,30,00,-4.723
2018,01,12,15,00,00,-4.772
2018,01,12,15,30,00,-4.82
2018,01,12,16,00,00,-4.84033
2018,01,12,16,30,00,-4.92033
2018,01,12,17,00,00,-5.113
2018,01,12,17,30,00,-5.19967
2018,01,12,18,00,00,-5.333
2018,01,12,18,30,00,-5.53167
2018,01,12,19,00,00,-5.50567
2018,01,12,19,30,00,-5.42867
2018,01,12,20,00,00,-5.384
2018,01,12,20,30,00,-5.42167
2018,01,12,21,00,00,-5.49267
2018,01,12,21,30,00,-5.55667
2018,01,12,22,00,00,-5.48967
2018,01,12,22,30,00,-5.371
2018,01,12,23,00,00,-5.28
2018,01,12,23,30,00,-5.262
2018,01,13,00,00,00,-5.43233
2018,01,13,00,30,00,-5.662
2018,01,13,01,00,00,-5.69433
2018,01,13,01,30,00,-5.71433
2018,01,13,02,00,00,-5.73867
2018,01,13,02,30,00,-5.73767
2018,01,13,03,00,00,-5.72933
2018,01,13,03,30,00,-5.64667
2018,01,13,04,00,00,-5.606
2018,01,13,04,30,00,-5.52167
2018,01,13,05,00,00,-5.45767
2018,01,13,05,30,00,-5.43167
