Year,Month,Day,Hour,Minute,Second,HYY_META.RHTd
2019,07,29,12,00,00,43.82036
2019,07,29,12,30,00,44.13472
2019,07,29,13,00,00,43.49297
2019,07,29,13,30,00,43.29732
2019,07,29,14,00,00,43.8514
2019,07,29,14,30,00,43.08725
2019,07,29,15,00,00,41.90678
2019,07,29,15,30,00,42.37869
2019,07,29,16,00,00,42.19436
2019,07,29,16,30,00,40.96436
2019,07,29,17,00,00,40.02764
2019,07,29,17,30,00,42.40878
2019,07,29,18,00,00,46.02747
2019,07,29,18,30,00,50.53911
2019,07,29,19,00,00,50.19864
2019,07,29,19,30,00,49.67967
2019,07,29,20,00,00,47.73847
2019,07,29,20,30,00,47.10067
2019,07,29,21,00,00,46.40122
2019,07,29,21,30,00,48.89892
2019,07,29,22,00,00,51.29214
2019,07,29,22,30,00,51.60947
2019,07,29,23,00,00,52.93208
2019,07,29,23,30,00,55.03792
2019,07,30,00,00,00,58.19192
2019,07,30,00,30,00,62.77694
2019,07,30,01,00,00,66.48447
2019,07,30,01,30,00,69.96875
2019,07,30,02,00,00,73.92553
2019,07,30,02,30,00,78.0777
2019,07,30,03,00,00,81.81128
2019,07,30,03,30,00,85.18672
2019,07,30,04,00,00,87.63153
2019,07,30,04,30,00,87.30406
2019,07,30,05,00,00,86.26047
2019,07,30,05,30,00,84.79692
2019,07,30,06,00,00,82.47678
2019,07,30,06,30,00,79.63894
2019,07,30,07,00,00,76.68675
2019,07,30,07,30,00,73.24858
2019,07,30,08,00,00,68.55003
2019,07,30,08,30,00,65.86644
2019,07,30,09,00,00,63.11931
2019,07,30,09,30,00,61.10647
2019,07,30,10,00,00,60.75348
2019,07,30,10,30,00,57.89881
2019,07,30,11,00,00,58.18628
2019,07,30,11,30,00,56.5125
2019,07,30,12,00,00,54.70853
2019,07,30,12,30,00,53.41497
2019,07,30,13,00,00,52.50008
2019,07,30,13,30,00,52.48117
2019,07,30,14,00,00,53.07306
2019,07,30,14,30,00,52.99478
2019,07,30,15,00,00,54.85581
2019,07,30,15,30,00,54.73908
2019,07,30,16,00,00,54.24786
2019,07,30,16,30,00,56.08492
2019,07,30,17,00,00,56.45542
2019,07,30,17,30,00,58.53842
2019,07,30,18,00,00,60.85025
2019,07,30,18,30,00,63.33872
2019,07,30,19,00,00,65.06636
2019,07,30,19,30,00,66.60806
2019,07,30,20,00,00,68.3513
2019,07,30,20,30,00,67.01286
2019,07,30,21,00,00,66.51031
2019,07,30,21,30,00,68.98381
2019,07,30,22,00,00,72.30783
2019,07,30,22,30,00,73.57194
2019,07,30,23,00,00,73.62442
2019,07,30,23,30,00,74.08575
2019,07,31,00,00,00,73.90947
2019,07,31,00,30,00,74.10253
2019,07,31,01,00,00,74.50314
2019,07,31,01,30,00,75.91453
2019,07,31,02,00,00,78.53594
2019,07,31,02,30,00,78.86147
2019,07,31,03,00,00,77.96319
2019,07,31,03,30,00,78.22133
2019,07,31,04,00,00,76.17794
2019,07,31,04,30,00,74.35528
2019,07,31,05,00,00,71.79167
2019,07,31,05,30,00,70.704
2019,07,31,06,00,00,69.24431
2019,07,31,06,30,00,67.55817
2019,07,31,07,00,00,65.82825
2019,07,31,07,30,00,65.60483
2019,07,31,08,00,00,62.72994
2019,07,31,08,30,00,60.33683
2019,07,31,09,00,00,59.19508
2019,07,31,09,30,00,57.44889
2019,07,31,10,00,00,54.88097
2019,07,31,10,30,00,52.91494
2019,07,31,11,00,00,49.82508
2019,07,31,11,30,00,48.22939
2019,07,31,12,00,00,47.07008
2019,07,31,12,30,00,46.00274
2019,07,31,13,00,00,45.04842
2019,07,31,13,30,00,42.74264
2019,07,31,14,00,00,42.47939
2019,07,31,14,30,00,41.72514
2019,07,31,15,00,00,41.47083
2019,07,31,15,30,00,41.14739
2019,07,31,16,00,00,42.70117
2019,07,31,16,30,00,46.04186
2019,07,31,17,00,00,45.88867
