Year,Month,Day,Hour,Minute,Second,HYY_META.WDU336
2018,01,05,18,30,00,132.55633
2018,01,05,19,00,00,131.58467
2018,01,05,19,30,00,145.143
2018,01,05,20,00,00,147.32633
2018,01,05,20,30,00,143.63233
2018,01,05,21,00,00,142.05267
2018,01,05,21,30,00,140.47533
2018,01,05,22,00,00,143.76533
2018,01,05,22,30,00,141.38267
2018,01,05,23,00,00,139.29833
2018,01,05,23,30,00,142.33567
2018,01,06,00,00,00,136.49433
2018,01,06,00,30,00,136.50567
2018,01,06,01,00,00,133.28267
2018,01,06,01,30,00,130.81033
2018,01,06,02,00,00,126.517
2018,01,06,02,30,00,130.42667
2018,01,06,03,00,00,132.62633
2018,01,06,03,30,00,136.41267
2018,01,06,04,00,00,146.92633
2018,01,06,04,30,00,150.18133
2018,01,06,05,00,00,152.964
2018,01,06,05,30,00,159.65833
2018,01,06,06,00,00,192.26867
2018,01,06,06,30,00,196.71267
2018,01,06,07,00,00,207.53633
2018,01,06,07,30,00,206.56133
2018,01,06,08,00,00,214.32667
2018,01,06,08,30,00,213.7
2018,01,06,09,00,00,220.22533
2018,01,06,09,30,00,233.04033
2018,01,06,10,00,00,255.889
2018,01,06,10,30,00,272.27167
2018,01,06,11,00,00,288.70467
2018,01,06,11,30,00,297.529
2018,01,06,12,00,00,301.36567
2018,01,06,12,30,00,293.73033
2018,01,06,13,00,00,290.92467
2018,01,06,13,30,00,288.60833
2018,01,06,14,00,00,299.30967
2018,01,06,14,30,00,301.22833
2018,01,06,15,00,00,306.025
2018,01,06,15,30,00,298.371
2018,01,06,16,00,00,302.47433
2018,01,06,16,30,00,307.39367
2018,01,06,17,00,00,299.86833
2018,01,06,17,30,00,303.17833
2018,01,06,18,00,00,299.26167
2018,01,06,18,30,00,301.809
2018,01,06,19,00,00,299.81567
2018,01,06,19,30,00,309.32367
2018,01,06,20,00,00,308.57967
2018,01,06,20,30,00,306.202
2018,01,06,21,00,00,309.654
2018,01,06,21,30,00,306.62233
2018,01,06,22,00,00,304.42667
2018,01,06,22,30,00,306.23767
2018,01,06,23,00,00,317.59167
2018,01,06,23,30,00,322.65633
2018,01,07,00,00,00,316.446
2018,01,07,00,30,00,311.18133
2018,01,07,01,00,00,306.64167
2018,01,07,01,30,00,306.87767
2018,01,07,02,00,00,294.72233
2018,01,07,02,30,00,290.14967
2018,01,07,03,00,00,291.09367
2018,01,07,03,30,00,287.43733
2018,01,07,04,00,00,286.14333
2018,01,07,04,30,00,280.03667
2018,01,07,05,00,00,282.185
2018,01,07,05,30,00,284.41767
2018,01,07,06,00,00,281.858
2018,01,07,06,30,00,277.11167
2018,01,07,07,00,00,278.21833
2018,01,07,07,30,00,277.59067
2018,01,07,08,00,00,282.39533
2018,01,07,08,30,00,281.60133
2018,01,07,09,00,00,282.17333
2018,01,07,09,30,00,280.269
2018,01,07,10,00,00,277.68467
2018,01,07,10,30,00,270.046
2018,01,07,11,00,00,266.73133
2018,01,07,11,30,00,269.77
2018,01,07,12,00,00,274.85267
2018,01,07,12,30,00,271.66867
2018,01,07,13,00,00,269.76867
2018,01,07,13,30,00,273.20067
2018,01,07,14,00,00,259.623
2018,01,07,14,30,00,251.99433
2018,01,07,15,00,00,247.545
2018,01,07,15,30,00,241.40667
2018,01,07,16,00,00,238.70033
2018,01,07,16,30,00,229.706
2018,01,07,17,00,00,233.69533
2018,01,07,17,30,00,236.203
2018,01,07,18,00,00,242.90333
2018,01,07,18,30,00,255.59833
2018,01,07,19,00,00,258.505
2018,01,07,19,30,00,252.75467
2018,01,07,20,00,00,246.24433
2018,01,07,20,30,00,254.08967
2018,01,07,21,00,00,255.91167
2018,01,07,21,30,00,255.198
2018,01,07,22,00,00,253.81967
2018,01,07,22,30,00,263.71433
2018,01,07,23,00,00,267.19533
2018,01,07,23,30,00,270.37267
2018,01,08,00,00,00,272.67433
2018,01,08,00,30,00,278.183
2018,01,08,01,00,00,283.50367
2018,01,08,01,30,00,286.59333
2018,01,08,02,00,00,301.54433
2018,01,08,02,30,00,300.66067
2018,01,08,03,00,00,310.03833
2018,01,08,03,30,00,309.83967
2018,01,08,04,00,00,307.077
2018,01,08,04,30,00,310.01233
2018,01,08,05,00,00,312.02567
2018,01,08,05,30,00,307.93067
2018,01,08,06,00,00,311.201
2018,01,08,06,30,00,309.046
2018,01,08,07,00,00,311.94667
2018,01,08,07,30,00,316.339
2018,01,08,08,00,00,314.507
2018,01,08,08,30,00,307.929
2018,01,08,09,00,00,307.60967
2018,01,08,09,30,00,300.64233
2018,01,08,10,00,00,296.017
2018,01,08,10,30,00,297.16333
2018,01,08,11,00,00,297.092
2018,01,08,11,30,00,307.29
2018,01,08,12,00,00,298.552
2018,01,08,12,30,00,290.039
2018,01,08,13,00,00,293.44367
2018,01,08,13,30,00,287.61167
2018,01,08,14,00,00,292.13767
2018,01,08,14,30,00,284.85833
2018,01,08,15,00,00,278.37733
2018,01,08,15,30,00,283.428
2018,01,08,16,00,00,281.58433
2018,01,08,16,30,00,281.194
2018,01,08,17,00,00,280.82867
2018,01,08,17,30,00,287.64333
2018,01,08,18,00,00,282.72633
2018,01,08,18,30,00,288.782
2018,01,08,19,00,00,294.64867
2018,01,08,19,30,00,277.657
2018,01,08,20,00,00,262.34633
2018,01,08,20,30,00,259.42867
2018,01,08,21,00,00,260.75267
2018,01,08,21,30,00,279.66833
2018,01,08,22,00,00,280.221
2018,01,08,22,30,00,293.02033
2018,01,08,23,00,00,261.787
2018,01,08,23,30,00,250.85
2018,01,09,00,00,00,256.306
2018,01,09,00,30,00,261.71467
2018,01,09,01,00,00,268.881
2018,01,09,01,30,00,274.24833
2018,01,09,02,00,00,266.84167
2018,01,09,02,30,00,256.51233
2018,01,09,03,00,00,254.596
2018,01,09,03,30,00,250.96367
2018,01,09,04,00,00,262.238
2018,01,09,04,30,00,274.34867
2018,01,09,05,00,00,275.49833
2018,01,09,05,30,00,265.38867
2018,01,09,06,00,00,266.77333
2018,01,09,06,30,00,282.67967
2018,01,09,07,00,00,278.42833
2018,01,09,07,30,00,278.99167
2018,01,09,08,00,00,275.704
2018,01,09,08,30,00,274.44133
2018,01,09,09,00,00,269.409
2018,01,09,09,30,00,280.863
2018,01,09,10,00,00,280.01633
2018,01,09,10,30,00,270.05467
2018,01,09,11,00,00,270.294
2018,01,09,11,30,00,280.086
2018,01,09,12,00,00,279.085
2018,01,09,12,30,00,265.587
2018,01,09,13,00,00,271.643
2018,01,09,13,30,00,280.172
2018,01,09,14,00,00,286.77533
2018,01,09,14,30,00,282.04933
2018,01,09,15,00,00,274.98267
2018,01,09,15,30,00,272.68233
2018,01,09,16,00,00,283.14433
2018,01,09,16,30,00,284.88467
2018,01,09,17,00,00,272.764
2018,01,09,17,30,00,263.385
2018,01,09,18,00,00,272.28067
2018,01,09,18,30,00,277.80033
2018,01,09,19,00,00,280.92967
2018,01,09,19,30,00,277.063
2018,01,09,20,00,00,273.54067
2018,01,09,20,30,00,271.52967
2018,01,09,21,00,00,272.91867
2018,01,09,21,30,00,273.636
2018,01,09,22,00,00,275.60867
2018,01,09,22,30,00,275.623
2018,01,09,23,00,00,269.18667
2018,01,09,23,30,00,265.544
2018,01,10,00,00,00,270.79233
2018,01,10,00,30,00,271.96567
2018,01,10,01,00,00,263.67667
2018,01,10,01,30,00,269.24667
2018,01,10,02,00,00,274.43667
2018,01,10,02,30,00,268.74133
2018,01,10,03,00,00,264.708
2018,01,10,03,30,00,263.091
2018,01,10,04,00,00,248.48733
2018,01,10,04,30,00,252.50067
2018,01,10,05,00,00,252.23967
2018,01,10,05,30,00,264.35067
2018,01,10,06,00,00,270.227
2018,01,10,06,30,00,260.05033
2018,01,10,07,00,00,251.21433
2018,01,10,07,30,00,256.11333
2018,01,10,08,00,00,273.76633
2018,01,10,08,30,00,262.91933
2018,01,10,09,00,00,255.95833
2018,01,10,09,30,00,254.31833
2018,01,10,10,00,00,259.501
2018,01,10,10,30,00,258.539
2018,01,10,11,00,00,264.43167
2018,01,10,11,30,00,245.069
2018,01,10,12,00,00,262.584
2018,01,10,12,30,00,264.45867
2018,01,10,13,00,00,256.56467
2018,01,10,13,30,00,259.319
2018,01,10,14,00,00,267.40867
2018,01,10,14,30,00,271.26133
2018,01,10,15,00,00,275.82433
2018,01,10,15,30,00,295.576
2018,01,10,16,00,00,236.68633
2018,01,10,16,30,00,258.02033
2018,01,10,17,00,00,262.05333
2018,01,10,17,30,00,264.86067
2018,01,10,18,00,00,300.75733
2018,01,10,18,30,00,300.69167
2018,01,10,19,00,00,296.77533
2018,01,10,19,30,00,302.33167
2018,01,10,20,00,00,322.394
2018,01,10,20,30,00,305.737
2018,01,10,21,00,00,290.79733
2018,01,10,21,30,00,326.79867
2018,01,10,22,00,00,331.04433
2018,01,10,22,30,00,326.36967
2018,01,10,23,00,00,322.131
2018,01,10,23,30,00,339.23733
2018,01,11,00,00,00,202.25833
2018,01,11,00,30,00,117.431
2018,01,11,01,00,00,287.83367
2018,01,11,01,30,00,330.34833
2018,01,11,02,00,00,218.98467
2018,01,11,02,30,00,329.38733
2018,01,11,03,00,00,326.233
2018,01,11,03,30,00,307.558
2018,01,11,04,00,00,328.199
2018,01,11,04,30,00,330.01667
2018,01,11,05,00,00,337.15567
2018,01,11,05,30,00,92.95467
2018,01,11,06,00,00,50.79167
2018,01,11,06,30,00,52.62033
2018,01,11,07,00,00,76.19567
2018,01,11,07,30,00,99.786
2018,01,11,08,00,00,98.375
2018,01,11,08,30,00,108.855
