Year,Month,Day,Hour,Minute,Second,HYY_META.WSU336
2018,01,09,23,30,00,3.35767
2018,01,10,00,00,00,3.21667
2018,01,10,00,30,00,2.855
2018,01,10,01,00,00,3.66867
2018,01,10,01,30,00,3.92233
2018,01,10,02,00,00,3.02633
2018,01,10,02,30,00,2.82267
2018,01,10,03,00,00,1.83933
2018,01,10,03,30,00,1.637
2018,01,10,04,00,00,2.317
2018,01,10,04,30,00,2.583
2018,01,10,05,00,00,2.31367
2018,01,10,05,30,00,2.41667
2018,01,10,06,00,00,1.96267
2018,01,10,06,30,00,1.96633
2018,01,10,07,00,00,2.12033
2018,01,10,07,30,00,2.54967
2018,01,10,08,00,00,1.86733
2018,01,10,08,30,00,1.38367
2018,01,10,09,00,00,2.09967
2018,01,10,09,30,00,1.98867
2018,01,10,10,00,00,1.696
2018,01,10,10,30,00,1.615
2018,01,10,11,00,00,1.485
2018,01,10,11,30,00,1.41067
2018,01,10,12,00,00,2.18267
2018,01,10,12,30,00,2.01567
2018,01,10,13,00,00,2.30933
2018,01,10,13,30,00,2.20333
2018,01,10,14,00,00,2.504
2018,01,10,14,30,00,1.85667
2018,01,10,15,00,00,1.48367
2018,01,10,15,30,00,1.26033
2018,01,10,16,00,00,0.71967
2018,01,10,16,30,00,0.40467
2018,01,10,17,00,00,0.80633
2018,01,10,17,30,00,1.17833
2018,01,10,18,00,00,0.627
2018,01,10,18,30,00,1.167
2018,01,10,19,00,00,1.10667
2018,01,10,19,30,00,1.25233
2018,01,10,20,00,00,1.08333
2018,01,10,20,30,00,0.978
2018,01,10,21,00,00,1.296
2018,01,10,21,30,00,1.20367
2018,01,10,22,00,00,1.51733
2018,01,10,22,30,00,1.486
2018,01,10,23,00,00,2.103
2018,01,10,23,30,00,2.37667
2018,01,11,00,00,00,2.05567
2018,01,11,00,30,00,1.58967
2018,01,11,01,00,00,1.21567
2018,01,11,01,30,00,1.59533
2018,01,11,02,00,00,1.301
2018,01,11,02,30,00,1.53033
2018,01,11,03,00,00,1.537
2018,01,11,03,30,00,2.197
2018,01,11,04,00,00,1.76267
2018,01,11,04,30,00,1.82867
2018,01,11,05,00,00,1.66233
2018,01,11,05,30,00,1.338
2018,01,11,06,00,00,1.42233
2018,01,11,06,30,00,1.39733
