Year,Month,Day,Hour,Minute,Second,HYY_META.WDU336
2011,01,11,19,30,00,222.46667
2011,01,11,20,00,00,223.53333
2011,01,11,20,30,00,224.8
2011,01,11,21,00,00,223.6
2011,01,11,21,30,00,215.86667
2011,01,11,22,00,00,212.96667
2011,01,11,22,30,00,218.23333
2011,01,11,23,00,00,217.6
2011,01,11,23,30,00,218.5
2011,01,12,00,00,00,220.26667
2011,01,12,00,30,00,217.26667
2011,01,12,01,00,00,218.68966
2011,01,12,01,30,00,215.86667
2011,01,12,02,00,00,219.93333
2011,01,12,02,30,00,217.8
2011,01,12,03,00,00,220.36667
2011,01,12,03,30,00,221
2011,01,12,04,00,00,212.46667
2011,01,12,04,30,00,204.86667
2011,01,12,05,00,00,205.7931
2011,01,12,05,30,00,201.86207
2011,01,12,06,00,00,206.06667
2011,01,12,06,30,00,204.36667
2011,01,12,07,00,00,193.34483
2011,01,12,07,30,00,187
2011,01,12,08,00,00,187.26087
2011,01,12,08,30,00,186.6
2011,01,12,09,00,00,184.84615
2011,01,12,09,30,00,179.62963
2011,01,12,10,00,00,175.92308
2011,01,12,10,30,00,155.89655
2011,01,12,11,00,00,155.51852
2011,01,12,11,30,00,148.3
2011,01,12,12,00,00,138.71429
2011,01,12,12,30,00,129.3
2011,01,12,13,00,00,130.7
2011,01,12,13,30,00,127.46667
2011,01,12,14,00,00,118
2011,01,12,14,30,00,120.66667
2011,01,12,15,00,00,116.53333
2011,01,12,15,30,00,118.93333
2011,01,12,16,00,00,108.96667
2011,01,12,16,30,00,102.26667
2011,01,12,17,00,00,93.46667
2011,01,12,17,30,00,86.2
2011,01,12,18,00,00,93.13333
2011,01,12,18,30,00,92.6
2011,01,12,19,00,00,96.43333
2011,01,12,19,30,00,96.43333
2011,01,12,20,00,00,92
2011,01,12,20,30,00,93
2011,01,12,21,00,00,93.23333
2011,01,12,21,30,00,95.66667
2011,01,12,22,00,00,89.66667
2011,01,12,22,30,00,89.36667
2011,01,12,23,00,00,89.4
2011,01,12,23,30,00,80
2011,01,13,00,00,00,87.3
2011,01,13,00,30,00,83.36667
2011,01,13,01,00,00,84.06667
2011,01,13,01,30,00,72.33333
2011,01,13,02,00,00,64.63333
2011,01,13,02,30,00,56.33333
2011,01,13,03,00,00,49.56667
2011,01,13,03,30,00,44.06667
2011,01,13,04,00,00,44.8
2011,01,13,04,30,00,28.4
2011,01,13,05,00,00,28.4
2011,01,13,05,30,00,16.5
2011,01,13,06,00,00,17.125
